sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,4.2,10,14.521808818119705,TRUE,70,18.4,10.64196627746881,9.97015398790409,11.31377856703353,Child,Change in BMI,Underweight
F,14.2,4.3,10,14.521808818119705,TRUE,70,18.5,10.814792093648343,10.130101670214549,11.499482517082138,Child,Change in BMI,Underweight
F,14.2,4.4,10,14.521808818119705,TRUE,70,18.6,10.98791808480308,10.291788561936377,11.684047607669784,Child,Change in BMI,Underweight
F,14.2,4.5,10,14.521808818119705,TRUE,70,18.7,11.161217964348644,10.455050886723008,11.86738504197428,Child,Change in BMI,Underweight
F,14.2,4.6000000000000005,10,14.521808818119705,TRUE,70,18.8,11.33454584494905,10.619674968073987,12.049416721824112,Child,Change in BMI,Underweight
F,14.2,4.7,10,14.521808818119705,TRUE,70,18.9,11.507736238516657,10.785399431453474,12.23007304557984,Child,Change in BMI,Underweight
F,14.2,4.800000000000001,10,14.521808818119705,TRUE,70,19,11.680604056212227,10.95191746360915,12.409290648815304,Child,Change in BMI,Underweight
F,14.2,4.9,10,14.521808818119705,TRUE,70,19.1,11.85294460844487,11.118879268138539,12.587009948751202,Child,Change in BMI,Underweight
F,14.2,5,10,14.521808818119705,TRUE,70,19.2,12.0245336048721,11.285894841620298,12.763172368123904,Child,Change in BMI,Underweight
F,14.2,5.1000000000000005,10,14.521808818119705,TRUE,70,19.3,12.195127154399783,11.452537174322355,12.93771713447721,Child,Change in BMI,Underweight
F,14.2,5.2,10,14.521808818119705,TRUE,70,19.4,12.364461765182167,11.618345949606747,13.110577580757587,Child,Change in BMI,Underweight
F,14.2,5.300000000000001,10,14.521808818119705,TRUE,70,19.5,12.53225434462186,11.782831772825668,13.281676916418052,Child,Change in BMI,Underweight
F,14.2,5.4,10,14.521808818119705,TRUE,70,19.6,12.698202199369868,11.945480901032978,13.450923497706759,Child,Change in BMI,Underweight
F,14.2,5.5,10,14.521808818119705,TRUE,70,19.7,12.861983035325542,12.105760368872595,13.61820570177849,Child,Change in BMI,Underweight
F,14.2,5.6000000000000005,10,14.521808818119705,TRUE,70,19.8,13.02325497242777,12.26312333733611,13.78338660751943,Child,Change in BMI,Underweight
F,14.2,5.7,10,14.521808818119705,TRUE,70,19.9,13.18173553574604,12.417122563873242,13.946348507618836,Child,Change in BMI,Underweight
F,14.2,5.800000000000001,10,14.521808818119705,TRUE,70,20,13.33739317772991,12.56766888209012,14.1071174733697,Child,Change in BMI,Underweight
F,14.2,5.9,10,14.521808818119705,TRUE,70,20.1,13.490249746271878,12.714749476345395,14.265750016198362,Child,Change in BMI,Underweight
F,14.2,6,10,14.521808818119705,TRUE,70,20.2,13.640327000400417,12.85835345659441,14.422300544206424,Child,Change in BMI,Underweight
F,14.2,6.1000000000000005,10,14.521808818119705,TRUE,70,20.3,13.787646610279884,12.998472176591369,14.5768210439684,Child,Change in BMI,Underweight
F,14.2,6.2,10,14.521808818119705,TRUE,70,20.4,13.932230157210617,13.135099515093948,14.729360799327285,Child,Change in BMI,Underweight
F,14.2,6.300000000000001,10,14.521808818119705,TRUE,70,20.5,14.074099133628867,13.268232113772362,14.879966153485372,Child,Change in BMI,Underweight
F,14.2,6.4,10,14.521808818119705,TRUE,70,20.6,14.213274943106828,13.39786956680449,15.028680319409167,Child,Change in BMI,Underweight
F,14.2,6.5,10,14.521808818119705,TRUE,70,20.7,14.349778900352634,13.524014558703138,15.17554324200213,Child,Change in BMI,Underweight
F,14.2,6.6000000000000005,10,14.521808818119705,TRUE,70,20.8,14.483632231210338,13.64667294867171,15.320591513748965,Child,Change in BMI,Underweight
F,14.2,6.7,10,14.521808818119705,TRUE,70,20.9,14.614856072659952,13.765853801603772,15.463858343716133,Child,Change in BMI,Underweight
F,14.2,6.800000000000001,10,14.521808818119705,TRUE,70,21,14.74347147281741,13.88156936761099,15.60537357802383,Child,Change in BMI,Underweight
F,14.2,6.9,10,14.521808818119705,TRUE,70,21.1,14.869499390934585,13.993835013572,15.745163768297171,Child,Change in BMI,Underweight
F,14.2,7,10,14.521808818119705,TRUE,70,21.2,14.992960697399283,14.102669111549378,15.883252283249188,Child,Change in BMI,Underweight
F,14.2,7.1000000000000005,10,14.521808818119705,TRUE,70,21.3,15.11387617373526,14.208092889958369,16.01965945751215,Child,Change in BMI,Underweight
F,14.2,7.2,10,14.521808818119705,TRUE,70,21.4,15.232266512602193,14.31013025405395,16.154402771150437,Child,Change in BMI,Underweight
F,14.2,7.300000000000001,10,14.521808818119705,TRUE,70,21.5,15.3481523177957,14.408807582628496,16.287497052962905,Child,Change in BMI,Underweight
F,14.2,7.4,10,14.521808818119705,TRUE,70,21.6,15.461554104247332,14.504153507802656,16.41895470069201,Child,Change in BMI,Underweight
F,14.2,7.5,10,14.521808818119705,TRUE,70,21.7,15.5724922980246,14.596198684491839,16.54878591155736,Child,Change in BMI,Underweight
F,14.2,7.6000000000000005,10,14.521808818119705,TRUE,70,21.8,15.680987236330905,14.68497555559715,16.67699891706466,Child,Change in BMI,Underweight
